date_collected,park_code,park_name,state
2026-04-26,fosm,Fort Smith National Historic Site,"AR,OK"
2026-04-26,fost,Fort Stanwix National Monument,NY
2026-04-26,fosu,Fort Sumter and Fort Moultrie National Historical Park,SC
2026-04-26,foun,Fort Union National Monument,NM
2026-04-26,fous,Fort Union Trading Post National Historic Site,"MT,ND"
2026-04-26,fova,Fort Vancouver National Historic Site,"OR,WA"
2026-04-26,fowa,Fort Washington Park,MD
2026-04-26,fobu,Fossil Butte National Monument,WY
2026-04-26,frpe,Frances Perkins National Monument,ME
2026-04-26,frde,Franklin Delano Roosevelt Memorial,DC
2026-04-26,frdo,Frederick Douglass National Historic Site,DC
2026-04-26,frla,Frederick Law Olmsted National Historic Site,MA
2026-04-26,frsp,Fredericksburg & Spotsylvania National Military Park,VA
2026-04-26,frri,Freedom Riders National Monument,AL
2026-04-26,frhi,Friendship Hill National Historic Site,PA
2026-04-26,gaar,Gates Of The Arctic National Park & Preserve,AK
2026-04-26,jeff,Gateway Arch National Park,MO
2026-04-26,gate,Gateway National Recreation Area,"NY,NJ"
2026-04-26,gari,Gauley River National Recreation Area,WV
2026-04-26,gegr,General Grant National Memorial,NY
2026-04-26,gero,George Rogers Clark National Historical Park,IN
2026-04-26,gewa,George Washington Birthplace National Monument,VA
2026-04-26,gwca,George Washington Carver National Monument,MO
2026-04-26,gwmp,George Washington Memorial Parkway,"DC,MD,VA"
2026-04-26,gett,Gettysburg National Military Park,PA
2026-04-26,gicl,Gila Cliff Dwellings National Monument,NM
2026-04-26,glba,Glacier Bay National Park & Preserve,AK
2026-04-26,glac,Glacier National Park,MT
2026-04-26,glca,Glen Canyon National Recreation Area,"AZ,UT"
2026-04-26,glec,Glen Echo Park,MD
2026-04-26,glde,Gloria Dei Church National Historic Site,PA
2026-04-26,goga,Golden Gate National Recreation Area,CA
2026-04-26,gosp,Golden Spike National Historical Park,UT
2026-04-26,gois,Governors Island National Monument,NY
2026-04-26,grca,Grand Canyon National Park,AZ
2026-04-26,para,Grand Canyon-Parashant National Monument,AZ
2026-04-26,grpo,Grand Portage National Monument,MN
2026-04-26,grte,Grand Teton National Park,WY
2026-04-26,grko,Grant-Kohrs Ranch National Historic Site,MT
2026-04-26,grba,Great Basin National Park,NV
2026-04-26,greg,Great Egg Harbor River,NJ
2026-04-26,grfa,Great Falls Park,VA
2026-04-26,grsa,Great Sand Dunes National Park & Preserve,CO
2026-04-26,grsm,Great Smoky Mountains National Park,"NC,TN"
2026-04-26,grsp,Green Springs,VA
2026-04-26,gree,Greenbelt Park,MD
2026-04-26,gumo,Guadalupe Mountains National Park,TX
2026-04-26,guco,Guilford Courthouse National Military Park,NC
2026-04-26,guis,Gulf Islands National Seashore,"FL,MS"
2026-04-26,hafo,Hagerman Fossil Beds National Monument,ID
2026-04-26,hale,Haleakalā National Park,HI
2026-04-26,hagr,Hamilton Grange National Memorial,NY
2026-04-26,hamp,Hampton National Historic Site,MD
2026-04-26,haha,Harmony Hall,MD
2026-04-26,hafe,Harpers Ferry National Historical Park,"WV,VA,MD"
2026-04-26,hart,Harriet Tubman National Historical Park,NY
2026-04-26,hatu,Harriet Tubman Underground Railroad National Historical Park,MD
2026-04-26,hstr,Harry S Truman National Historic Site,MO
2026-04-26,havo,Hawaiʻi Volcanoes National Park,HI
2026-04-26,heho,Herbert Hoover National Historic Site,IA
2026-04-26,jame,Historic Jamestowne Part of Colonial National Historical Park,VA
2026-04-26,hofr,Home Of Franklin D Roosevelt National Historic Site,NY
2026-04-26,home,Homestead National Historical Park,NE
2026-04-26,hono,Honouliuli National Historic Site,HI
2026-04-26,hocu,Hopewell Culture National Historical Park,OH
2026-04-26,hofu,Hopewell Furnace National Historic Site,PA
2026-04-26,hobe,Horseshoe Bend National Military Park,AL
2026-04-26,hosp,Hot Springs National Park,AR
2026-04-26,hove,Hovenweep National Monument,"CO,UT"
2026-04-26,hutr,Hubbell Trading Post National Historic Site,AZ
2026-04-26,iafl,Ice Age Floods National Geologic Trail,"WA,OR,ID,MT"
2026-04-26,iatr,Ice Age National Scenic Trail,WI
2026-04-26,inde,Independence National Historical Park,PA
2026-04-26,indu,Indiana Dunes National Park,IN
2026-04-26,isro,Isle Royale National Park,MI
2026-04-26,inup,Iñupiat Heritage Center,AK
2026-04-26,jaga,James A Garfield National Historic Site,OH
2026-04-26,jela,Jean Lafitte National Historical Park and Preserve,LA
2026-04-26,jeca,Jewel Cave National Monument,SD
2026-04-26,jica,Jimmy Carter National Historical Park,GA
2026-04-26,joda,John Day Fossil Beds National Monument,OR
2026-04-26,jofi,John Fitzgerald Kennedy National Historic Site,MA
2026-04-26,jomu,John Muir National Historic Site,CA
2026-04-26,jofl,Johnstown Flood National Memorial,PA
2026-04-26,jotr,Joshua Tree National Park,CA
2026-04-26,juba,Juan Bautista de Anza National Historic Trail,"AZ,CA"
2026-04-26,kala,Kalaupapa National Historical Park,HI
2026-04-26,kaho,Kaloko-Honokōhau National Historical Park,HI
2026-04-26,kaww,Katahdin Woods and Waters National Monument,ME
2026-04-26,katm,Katmai National Park & Preserve,AK
2026-04-26,kefj,Kenai Fjords National Park,AK
2026-04-26,keaq,Kenilworth Park & Aquatic Gardens,DC
2026-04-26,kemo,Kennesaw Mountain National Battlefield Park,GA
2026-04-26,kewe,Keweenaw National Historical Park,MI
2026-04-26,kimo,Kings Mountain National Military Park,SC
2026-04-26,klse,Klondike Gold Rush - Seattle Unit National Historical Park,WA
2026-04-26,klgo,Klondike Gold Rush National Historical Park,AK
2026-04-26,knri,Knife River Indian Villages National Historic Site,ND
2026-04-26,kova,Kobuk Valley National Park,AK
2026-04-26,kowa,Korean War Veterans Memorial,DC
2026-04-26,lyba,LBJ Memorial Grove on the Potomac,DC
2026-04-26,lacl,Lake Clark National Park & Preserve,AK
2026-04-26,lake,Lake Mead National Recreation Area,"AZ,NV"
2026-04-26,lamr,Lake Meredith National Recreation Area,TX
2026-04-26,laro,Lake Roosevelt National Recreation Area,WA
2026-04-26,lavo,Lassen Volcanic National Park,CA
2026-04-26,labe,Lava Beds National Monument,CA
2026-04-26,lecl,Lewis & Clark National Historic Trail,"IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV"
2026-04-26,lewi,Lewis and Clark National Historical Park,"OR,WA"
2026-04-26,libo,Lincoln Boyhood National Memorial,IN
2026-04-26,liho,Lincoln Home National Historic Site,IL
2026-04-26,linc,Lincoln Memorial,DC
2026-04-26,libi,Little Bighorn Battlefield National Monument,MT
2026-04-26,liri,Little River Canyon National Preserve,AL
2026-04-26,chsc,Little Rock Central High School National Historic Site,AR
2026-04-26,long,Longfellow House Washington's Headquarters National Historic Site,MA
2026-04-26,lowe,Lowell National Historical Park,MA
2026-04-26,lode,Lower Delaware National Wild and Scenic River,"PA,NJ"
2026-04-26,loea,Lower East Side Tenement Museum National Historic Site,NY
2026-04-26,lyjo,Lyndon B Johnson National Historical Park,TX
2026-04-26,mawa,Maggie L Walker National Historic Site,VA
2026-04-26,maac,Maine Acadian Culture,ME
2026-04-26,maca,Mammoth Cave National Park,KY
2026-04-26,mana,Manassas National Battlefield Park,VA
2026-04-26,mapr,Manhattan Project National Historical Park,"NM,WA,TN"
2026-04-26,manz,Manzanar National Historic Site,CA
2026-04-26,mabi,Marsh - Billings - Rockefeller National Historical Park,VT
2026-04-26,mlkm,"Martin Luther King, Jr. Memorial",DC
2026-04-26,malu,"Martin Luther King, Jr. National Historical Park",GA
2026-04-26,mava,Martin Van Buren National Historic Site,NY
2026-04-26,mamc,Mary McLeod Bethune Council House National Historic Site,DC
2026-04-26,memy,Medgar and Myrlie Evers Home National Monument,MS
2026-04-26,meve,Mesa Verde National Park,CO
2026-04-26,misp,Mill Springs Battlefield National Monument,KY
2026-04-26,miin,Minidoka National Historic Site,"ID,WA"
2026-04-26,mima,Minute Man National Historical Park,MA
2026-04-26,mimi,Minuteman Missile National Historic Site,SD
2026-04-26,miss,Mississippi National River & Recreation Area,MN
2026-04-26,mnrr,Missouri National Recreational River,"SD,NE"
2026-04-26,moja,Mojave National Preserve,CA
2026-04-26,mono,Monocacy National Battlefield,MD
2026-04-26,moca,Montezuma Castle National Monument,AZ
2026-04-26,mocr,Moores Creek National Battlefield,NC
2026-04-26,mopi,Mormon Pioneer National Historic Trail,"IL,IA,NE,UT,WY"
2026-04-26,morr,Morristown National Historical Park,NJ
2026-04-26,mora,Mount Rainier National Park,WA
2026-04-26,moru,Mount Rushmore National Memorial,SD
2026-04-26,muwo,Muir Woods National Monument,CA
2026-04-26,natc,Natchez National Historical Park,MS
2026-04-26,natt,Natchez Trace National Scenic Trail,"AL,MS,TN"
2026-04-26,natr,Natchez Trace Parkway,"AL,MS,TN"
2026-04-26,nace,National Capital Parks-East,DC
2026-04-26,nama,National Mall and Memorial Parks,DC
2026-04-26,npsa,National Park of American Samoa,AS
2026-04-26,npnh,National Parks of New York Harbor,NY
2026-04-26,nabr,Natural Bridges National Monument,UT
2026-04-26,nava,Navajo National Monument,AZ
2026-04-26,nebe,New Bedford Whaling National Historical Park,MA
2026-04-26,neen,New England National Scenic Trail,"MA,CT"
2026-04-26,pine,New Jersey Pinelands National Reserve,NJ
2026-04-26,jazz,New Orleans Jazz National Historical Park,LA
2026-04-26,neph,New Philadelphia National Historic Site,IL
2026-04-26,neri,New River Gorge National Park & Preserve,WV
2026-04-26,nepe,Nez Perce National Historical Park,"ID,MT,OR,WA"
2026-04-26,nico,Nicodemus National Historic Site,KS
2026-04-26,nisi,Ninety Six National Historic Site,SC
2026-04-26,niob,Niobrara National Scenic River,NE
2026-04-26,noat,Noatak National Preserve,AK
2026-04-26,noca,North Cascades National Park,WA
2026-04-26,noco,North Country National Scenic Trail,"MI,MN,ND,NY,OH,PA,VT,WI"
2026-04-26,obed,Obed Wild & Scenic River,TN
2026-04-26,ocmu,Ocmulgee Mounds National Historical Park,GA
2026-04-26,okci,Oklahoma City National Memorial,OK
2026-04-26,olsp,Old Spanish National Historic Trail,"AZ,CA,CO,NV,NM,UT"
2026-04-26,olym,Olympic National Park,WA
2026-04-26,orca,Oregon Caves National Monument & Preserve,OR
2026-04-26,oreg,Oregon National Historic Trail,"ID,KS,MO,NE,OR,WA,WY"
2026-04-26,orpi,Organ Pipe Cactus National Monument,AZ
2026-04-26,ovvi,Overmountain Victory National Historic Trail,"NC,SC,TN,VA"
2026-04-26,oxhi,Oxon Cove Park & Oxon Hill Farm,MD
2026-04-26,ozar,Ozark National Scenic Riverways,MO
2026-04-26,pais,Padre Island National Seashore,TX
2026-04-26,paal,Palo Alto Battlefield National Historical Park,TX
2026-04-26,pagr,Paterson Great Falls National Historical Park,NJ
2026-04-26,peri,Pea Ridge National Military Park,AR
2026-04-26,valr,Pearl Harbor National Memorial,HI
2026-04-26,peco,Pecos National Historical Park,NM
2026-04-26,paav,Pennsylvania Avenue,DC
2026-04-26,pevi,Perry's Victory & International Peace Memorial,OH
2026-04-26,pete,Petersburg National Battlefield,VA
2026-04-26,pefo,Petrified Forest National Park,AZ
2026-04-26,petr,Petroglyph National Monument,NM
2026-04-26,piro,Pictured Rocks National Lakeshore,MI
2026-04-26,pinn,Pinnacles National Park,CA
2026-04-26,pisp,Pipe Spring National Monument,AZ
2026-04-26,pipe,Pipestone National Monument,MN
2026-04-26,pisc,Piscataway Park,MD
2026-04-26,pore,Point Reyes National Seashore,CA
2026-04-26,poex,Pony Express National Historic Trail,"CA,CO,KS,MO,NE,NV,UT,WY"
2026-04-26,poch,Port Chicago Naval Magazine National Memorial,CA
2026-04-26,pohe,Potomac Heritage National Scenic Trail,"DC,MD,PA,VA"
2026-04-26,popo,Poverty Point National Monument,LA
2026-04-26,wicl,President William Jefferson Clinton Birthplace Home National Historic Site,AR
2026-04-26,prsf,Presidio of San Francisco,CA
2026-04-26,prwi,Prince William Forest Park,VA
2026-04-26,pull,Pullman National Historical Park,IL
2026-04-26,puho,Puʻuhonua o Hōnaunau National Historical Park,HI
2026-04-26,puhe,Puʻukoholā Heiau National Historic Site,HI
2026-04-26,rabr,Rainbow Bridge National Monument,UT
